Doosan DX,"2012 г.,дизель,руль слева",$ 65 000,https://im.mashina.kg/tachka/images//9/2/f/92f7afe67d730d3903a3d78a28d57fbd_240x180.jpg
Hyundai Колесные,"2010 г.,дизель,руль слева, 15 000 км",$ 33 000,https://im.mashina.kg/tachka/images//6/9/f/69ffb53d705bc94582345c7e20fcb5e1_240x180.jpg
Hyundai Колесные,"2004 г.,дизель,руль слева",$ 28 000,https://im.mashina.kg/tachka/images//2/7/b/27b9775c95eb3e5a5b93f2e306d49b1e_240x180.jpg
Doosan Solar,"2012 г.,дизель,руль слева, 17 000 км",$ 85 000,https://im.mashina.kg/tachka/images//4/6/d/46dbd667f66dcfe8493d83276e4a4c9e_240x180.jpg
Hyundai Гусеничные,"2012 г.,дизель,руль слева, 14 000 км",$ 97 000,https://im.mashina.kg/tachka/images//b/a/6/ba6ce85504b96a4c709b4395ec67ebe7_240x180.jpg
Hyundai Колесные,"2004 г.,дизель,руль слева",$ 25 000,
Hyundai Колесные,"2013 г.,дизель,руль слева",$ 52 000,https://im.mashina.kg/tachka/images//4/3/9/439a5c88e748d0fe9b4c169fb175b61c_240x180.jpg
Komatsu PC 30 MR,"1993 г.,дизель,руль слева",$ 12 366,https://im.mashina.kg/tachka/images//5/6/8/568a6bae4f9b83b71e292fa19bd6ac6d_240x180.jpg
Volvo BL,"2012 г.,дизель,руль слева",$ 90 000,https://im.mashina.kg/tachka/images//5/d/f/5df44572857f8b5557e77ba99f663f20_240x180.jpg
Hyundai Колесные,"2012 г.,дизель,руль слева, 10 070 км",$ 47 000,https://im.mashina.kg/tachka/images//8/1/7/8177fde35cc36fd7c64954b8f461045b_240x180.jpg
Hyundai Колесные,"2013 г.,дизель,руль слева, 11 265 км",$ 41 000,https://im.mashina.kg/tachka/images//e/7/2/e72a55c000c2c0a93e011427bd9a163d_240x180.jpg
Hyundai Колесные,"2013 г.,дизель,руль слева",$ 41 000,https://im.mashina.kg/tachka/images//6/0/d/60dbb5312f4ac21857caf8e50f95e8a5_240x180.jpg
Hyundai Колесные,"2008 г.,бензин,руль слева",$ 35 000,https://im.mashina.kg/tachka/images//2/6/b/26b1116776fc7d3ff8f02d07e0850465_240x180.jpg
Samsung MX,"1999 г.,дизель,руль слева",$ 32 000,https://im.mashina.kg/tachka/images//f/c/5/fc5e7a196f7c0150b5d0c1fbd14854c5_240x180.jpg
Fermec 965,"1996 г.,дизель,руль слева, 6 000 км",$ 30 000,https://im.mashina.kg/tachka/images//c/6/2/c62bd0367f76ff8323ada4db22d71f21_240x180.jpg
Hyundai Колесные,"2010 г.,дизель,руль слева, 18 000 км",$ 60 000,https://im.mashina.kg/tachka/images//4/9/4/49498c95171681329f019dba67d3ff6e_240x180.jpg
Hyundai Колесные,"2011 г.,дизель,руль слева",$ 68 000,https://im.mashina.kg/tachka/images//1/2/9/12991bd07274039ffa0c340d18f82242_240x180.jpg
Komatsu WB97R,"1997 г.,дизель,руль слева",$ 38 000,https://im.mashina.kg/tachka/images//2/b/0/2b09ebea208cb3d35ac6d5ccc85c8b07_240x180.jpg
ЭО 5225,"1987 г.,дизель,руль справа, 10 000 км",$ 10 000,https://im.mashina.kg/tachka/images//5/a/b/5abb547e0b9006bf39502f7828b579f7_240x180.jpg
ЭО 4111,"1989 г.,дизель,руль справа",$ 16 500,https://im.mashina.kg/tachka/images//f/a/5/fa505a9a0a5f0bf03610a0fb0a7babab_240x180.jpg
JCB 3CX,"2022 г.,дизель,руль слева",$ 88 000,https://im.mashina.kg/tachka/images//5/f/0/5f0e9a6753dc1f198cef09f7c585f6ba_240x180.jpg
Hitachi Гусеничные,"2019 г.,дизель,руль слева, 4 131 км",$ 74 910,https://im.mashina.kg/tachka/images//f/b/a/fba826f6cc7c33ffa1f98751eaca8a3b_240x180.jpg
Doosan DX,"2019 г.,дизель,руль слева, 4 131 км",$ 74 910,https://im.mashina.kg/tachka/images//c/7/a/c7a6c8f93799813d58f8b71ffcc6cb8e_240x180.jpg
Samsung MX,"1997 г.,дизель,руль слева",$ 21 000,https://im.mashina.kg/tachka/images//7/9/0/790d378cd7d694cad9b27f1071abe471_240x180.jpg
Volvo EW,"2003 г.,дизель,руль слева",$ 40 000,https://im.mashina.kg/tachka/images//a/5/c/a5c136681bc848c50ad05d2855ac9b55_240x180.jpg
Case Колесные,"1988 г.,дизель,руль слева, 5 000 км",$ 30 000,https://im.mashina.kg/tachka/images//6/0/2/6026d77dacf9be37ff07eeb1e64f55b0_240x180.jpg
Samsung MX,"2000 г.,дизель,руль слева, 111 111 км",$ 31 500,https://im.mashina.kg/tachka/images//5/c/b/5cbd7e3c6eb83ebdf01cdbeec3c368f5_240x180.jpg
Hyundai Колесные,"2007 г.,дизель,руль слева, 9 000 км",$ 33 000,https://im.mashina.kg/tachka/images//4/5/c/45c0e67a63e5462950241c15c0e9bc83_240x180.jpg
